,scores,sequence,labels,new_label
0,0.19888369739055634,Accountability,"['Data', 'Evaluation', 'Abstraction', 'Decomposition', 'Algorithm', 'Automation']",Data
1,0.14010241627693176,Action-Task,"['Data', 'Evaluation', 'Decomposition', 'Abstraction', 'Algorithm', 'Automation']",Data
2,0.3505416214466095,Analyse,"['Evaluation', 'Data', 'Algorithm', 'Decomposition', 'Automation', 'Abstraction']",Evaluation
3,0.01923016458749771,Assessment,"['Evaluation', 'Data', 'Algorithm', 'Automation', 'Abstraction', 'Decomposition']",Evaluation
4,0.26441943645477295,Competition,"['Data', 'Evaluation', 'Algorithm', 'Decomposition', 'Automation', 'Abstraction']",Data
5,0.2930077314376831,Demonstration,"['Data', 'Decomposition', 'Algorithm', 'Evaluation', 'Automation', 'Abstraction']",Data
6,0.10168656706809998,Discover,"['Data', 'Evaluation', 'Algorithm', 'Decomposition', 'Abstraction', 'Automation']",Data
7,0.14304080605506897,Experimentation,"['Data', 'Evaluation', 'Decomposition', 'Algorithm', 'Abstraction', 'Automation']",Data
8,0.20024530589580536,Explore,"['Evaluation', 'Data', 'Decomposition', 'Algorithm', 'Abstraction', 'Automation']",Evaluation
9,0.4750136733055115,Feedback,"['Evaluation', 'Data', 'Decomposition', 'Algorithm', 'Automation', 'Abstraction']",Evaluation
10,0.24159632623195648,Generalisation-Discrimination,"['Data', 'Evaluation', 'Algorithm', 'Automation', 'Abstraction', 'Decomposition']",Data
11,0.3860223889350891,Guidance,"['Evaluation', 'Data', 'Decomposition', 'Algorithm', 'Automation', 'Abstraction']",Evaluation
12,0.18613071739673615,Hypothesis,"['Data', 'Abstraction', 'Algorithm', 'Evaluation', 'Decomposition', 'Automation']",Data
13,0.1252375990152359,Identify,"['Data', 'Evaluation', 'Algorithm', 'Abstraction', 'Decomposition', 'Automation']",Data
14,0.11419040709733963,Imitation,"['Data', 'Evaluation', 'Automation', 'Algorithm', 'Decomposition', 'Abstraction']",Data
15,0.2744714617729187,Incentive,"['Data', 'Algorithm', 'Evaluation', 'Automation', 'Abstraction', 'Decomposition']",Data
16,0.6832290291786194,Instructional,"['Evaluation', 'Data', 'Decomposition', 'Abstraction', 'Algorithm', 'Automation']",Evaluation
17,0.8678724765777588,Modelling,"['Evaluation', 'Data', 'Algorithm', 'Decomposition', 'Automation', 'Abstraction']",Evaluation
18,0.049774471670389175,Motivation,"['Evaluation', 'Data', 'Algorithm', 'Decomposition', 'Automation', 'Abstraction']",Evaluation
19,0.12041297554969788,Objectify,"['Decomposition', 'Abstraction', 'Data', 'Automation', 'Algorithm', 'Evaluation']",Decomposition
20,0.24077102541923523,Observation,"['Data', 'Evaluation', 'Algorithm', 'Abstraction', 'Decomposition', 'Automation']",Data
21,0.4753149449825287,Ownership,"['Evaluation', 'Decomposition', 'Data', 'Abstraction', 'Automation', 'Algorithm']",Evaluation
22,0.314448744058609,Participation,"['Data', 'Algorithm', 'Evaluation', 'Decomposition', 'Abstraction', 'Automation']",Data
23,0.0747988224029541,Plan,"['Data', 'Abstraction', 'Algorithm', 'Evaluation', 'Decomposition', 'Automation']",Data
24,0.6660534739494324,Question and Answer,"['Evaluation', 'Data', 'Algorithm', 'Decomposition', 'Abstraction', 'Automation']",Evaluation
25,0.6465956568717957,Reflect-Discuss,"['Evaluation', 'Data', 'Decomposition', 'Algorithm', 'Abstraction', 'Automation']",Evaluation
26,0.10884271562099457,Repetition,"['Data', 'Evaluation', 'Algorithm', 'Abstraction', 'Decomposition', 'Automation']",Data
27,0.4918194115161896,Responsibility,"['Data', 'Evaluation', 'Abstraction', 'Decomposition', 'Algorithm', 'Automation']",Data
28,0.15922501683235168,Shadowing,"['Data', 'Evaluation', 'Decomposition', 'Algorithm', 'Abstraction', 'Automation']",Data
29,0.22169268131256104,Simulation,"['Data', 'Evaluation', 'Algorithm', 'Decomposition', 'Automation', 'Abstraction']",Data
30,0.4316684603691101,Tutorial,"['Evaluation', 'Data', 'Algorithm', 'Decomposition', 'Abstraction', 'Automation']",Evaluation
0,0.5342403054237366,Recall,"['Data', 'Evaluation', 'Automation', 'Algorithm', 'Decomposition', 'Abstraction']",Data
1,0.2595510482788086,Understand,"['Abstraction', 'Data', 'Evaluation', 'Automation', 'Algorithm', 'Decomposition']",Abstraction
2,0.3008938431739807,Apply,"['Data', 'Automation', 'Algorithm', 'Evaluation', 'Decomposition', 'Abstraction']",Data
3,0.4295474588871002,Analyze,"['Automation', 'Data', 'Algorithm', 'Evaluation', 'Decomposition', 'Abstraction']",Automation
4,0.9913528561592102,Evaluate,"['Evaluation', 'Automation', 'Data', 'Decomposition', 'Algorithm', 'Abstraction']",Evaluation
5,0.19162048399448395,Create,"['Data', 'Decomposition', 'Abstraction', 'Automation', 'Algorithm', 'Evaluation']",Data
